event_time,coef,se,ci_lo,ci_hi
-4,0.0075026614661037805,0.009105689105093963,-0.010344489179880387,0.02534981211208795
-3,-5.883311484913448e-05,0.007454176581617707,-0.014669019214819841,0.014551352985121571
-2,0.00958023906688887,0.005775068171806211,-0.0017388945498513029,0.02089937268362904
0,0.01289869218277455,0.005811735301324974,0.0015076909921776013,0.0242896933733715
1,0.002842439964591287,0.007079776973899081,-0.01103392290425091,0.016718802833433483
2,0.00442530324586601,0.007819763878577966,-0.010901433956146803,0.019752040447878823
3,0.0042838227571178385,0.008666748892571909,-0.012703005072323104,0.021270650586558783
4,0.008882400798029056,0.010005074027404729,-0.01072754429568421,0.02849234589174232
