att,se,ci_lo,ci_hi,sig,outcome,label
0.13782690232692751,0.029159321366843363,0.08067568263428526,0.19497812201956977,*,log_n_total,log(Total patients)
0.0024294722014859232,0.0058120587145617415,-0.008961953555087252,0.0138208979580591,,share_uninsured,Uninsured share
-0.0030958727945299587,0.00492247527092395,-0.012743747040329946,0.006552001451270028,,share_medicaid,Medicaid share
0.01974519475798977,0.0064556257525167195,0.007092400785387714,0.032397988730591826,*,htn_control_pct,Hypertension control
0.005950453759385738,0.006946126731944919,-0.00766370446727721,0.019564611986048686,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-0.03174516398247892,0.014185180414340434,-0.05954760670878913,-0.0039427212561687075,*,imm_child,Childhood immunization
-0.004993053800641727,0.00922151650224553,-0.02306689402788474,0.013080786426601286,,pap_screen,Cervical cancer screening
0.026527357774461063,0.01402708210145348,-0.0009652179525741766,0.0540199335014963,,bmi_adult,Adult BMI follow-up
0.013671182354264007,0.011139050175515293,-0.008160954811730535,0.03550331952025855,,tobacco,Tobacco assessment+intervention
0.00911689265711841,0.01041586834945561,-0.011297834175525243,0.029531619489762063,,crc_screen,Colorectal cancer screening
-0.010948961006464432,0.015070668279176537,-0.040486928056600674,0.018589006043671814,,depr_screen,Depression screen+follow-up
