event_time,coef,se,ci_lo,ci_hi
-4,0.026403434351317062,0.04434658004521082,-0.06051586253729614,0.11332273123993027
-3,0.023842173562770366,0.026385439917606595,-0.02787328867573856,0.07555763580127929
-2,-0.03548812852206538,0.022454211560546784,-0.07949838318073707,0.008522126136606321
0,-0.011009027812347265,0.01573836600842888,-0.04185622518886787,0.019838169564173336
1,-0.0255084513120851,0.027716606776270497,-0.07983300059357527,0.028816097969405072
2,-0.006737778135666262,0.028902888064687174,-0.06338743874245312,0.0499118824711206
3,0.0064900792435209536,0.0334692325133428,-0.05910961648263093,0.07208977496967284
4,0.04443305159258351,0.041352725211308394,-0.03661828982158094,0.12548439300674796
