rel,att,se,ci_lo,ci_hi,sig,outcome,label
-9,0.0028358796921680862,0.014274054032097909,-0.025140752124122555,0.030812511508458727,,share_medicaid,Medicaid share
-8,-0.0012331492509560062,0.010260412891769162,-0.02134318898533403,0.018876890483422018,,share_medicaid,Medicaid share
-7,0.017421683825380476,0.007960256172276622,0.001819868420005628,0.03302349923075532,*,share_medicaid,Medicaid share
-6,-0.009366997121526305,0.0066950389124768705,-0.022489032265075183,0.0037550380220225717,,share_medicaid,Medicaid share
-5,-0.01620189812788895,0.008934677241063674,-0.03371354373386344,0.0013097474780855468,,share_medicaid,Medicaid share
-4,-0.0021113605444209385,0.006182066189368467,-0.014227987625625908,0.010005266536784031,,share_medicaid,Medicaid share
-3,0.00632300555390452,0.005507950587616999,-0.004472379226451024,0.017118390334260065,,share_medicaid,Medicaid share
-2,-0.0003808622353134271,0.006588643551309248,-0.013294366302851635,0.01253264183222478,,share_medicaid,Medicaid share
-1,-0.0007357112778029775,0.0037952880446079926,-0.00817433915619009,0.006702916600584134,,share_medicaid,Medicaid share
0,-0.0034544437729674706,0.0024280027368176822,-0.00821324169149481,0.00130435414555987,,share_medicaid,Medicaid share
1,-0.0037505120958933403,0.0038798970895622294,-0.011354970655157087,0.003853946463370406,,share_medicaid,Medicaid share
2,-0.0018909708872079615,0.0050742035600660484,-0.011836227115162343,0.008054285340746418,,share_medicaid,Medicaid share
3,0.003090222143345492,0.0056481141028685055,-0.007979878078849537,0.014160322365540521,,share_medicaid,Medicaid share
4,0.001447242528773481,0.005678606037086852,-0.009682620786308471,0.012577105843855433,,share_medicaid,Medicaid share
5,-0.007096697401135571,0.006712129981901879,-0.020252230425214738,0.006058835622943597,,share_medicaid,Medicaid share
6,9.670711773137854e-05,0.007898518802553477,-0.015384105266485872,0.015577519501948628,,share_medicaid,Medicaid share
7,-0.004679976073207923,0.009651776137363446,-0.023597109689283392,0.014237157542867548,,share_medicaid,Medicaid share
8,-0.009841161189098203,0.010767278998944734,-0.03094464023852437,0.011262317860327963,,share_medicaid,Medicaid share
9,-0.02064112075605196,0.01404402223482761,-0.04816689853439379,0.006884657022289877,,share_medicaid,Medicaid share
