event_time,coef,se,ci_lo,ci_hi
-4,-0.022194596429898197,0.008148868341912424,-0.03816637838004655,-0.006222814479749848
-3,-0.010453755340851223,0.0070456109500600566,-0.024263152802968934,0.003355642121266489
-2,-0.0038462059310872512,0.004136005099027536,-0.011952775925181222,0.0042603640630067205
0,0.004946757298877212,0.002904131008816656,-0.0007453394784034343,0.010638854076157857
1,0.003473422863440684,0.004637822714183734,-0.005616709656359433,0.0125635553832408
2,0.008947858158560055,0.005901933227525907,-0.0026199309673907226,0.020515647284510833
3,0.01119359446671807,0.006590514429314912,-0.0017238138147391575,0.0241110027481753
4,0.01055577926773113,0.007046408669758176,-0.0032551817249948933,0.024366740260457154
