,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-9,0.009601064817081447,0.12604672581945459,-0.23744597815824448,0.2566481077924074,
-8,0.009273607446495007,0.051550308399929426,-0.09176314040929928,0.1103103553022893,
-7,-0.030784936249667334,0.0727400656009133,-0.17335284506053827,0.11178297256120362,
-6,-0.03878995169181382,0.07574535680268213,-0.18724812302120677,0.10966821963757914,
-5,0.050581112939803385,0.04066338880663923,-0.029117664610558674,0.13027989049016545,
-4,0.007807569580911547,0.037843643221470616,-0.06636460817695422,0.0819797473387773,
-3,0.003207657576045594,0.019489165230910033,-0.034990404365288316,0.04140571951737951,
-2,-0.03933255037071634,0.029732771666647128,-0.09760771199789767,0.018942611256464986,
-1,0.032761026099817014,0.018978847631631587,-0.004436831726254198,0.06995888392588823,
0,0.04538129249208912,0.011646256728222225,0.022555048750066278,0.06820753623411197,*
1,0.07447187004318206,0.01752441562669285,0.04012464656475316,0.10881909352161097,*
2,0.09710130666439867,0.02140763303515857,0.055143116921237995,0.13905949640755935,*
3,0.1206765616188799,0.026428989180426625,0.06887669467744495,0.17247642856031484,*
4,0.15812008985203582,0.031729372214284304,0.09593166305997268,0.22030851664409895,*
5,0.18322380810574657,0.03916661707510352,0.10645864924227215,0.25998896696922097,*
6,0.21607653854237902,0.04742699074454586,0.12312134478795465,0.30903173229680336,*
7,0.24608785239630065,0.05705346324268395,0.13426511924736032,0.357910585545241,*
8,0.2693629329910192,0.06467701350798995,0.14259831588774832,0.3961275500942901,*
9,0.1928511648358544,0.08292627894554457,0.030318644730664895,0.3553836849410439,*
