event_time,coef,se,ci_lo,ci_hi
-4,0.016790520616148573,0.008998328916264028,-0.0008462040597289229,0.034427245292026065
-3,0.0024056103730999757,0.00652466430022932,-0.010382731655349493,0.015193952401549443
-2,0.002579531087122937,0.00476413799957566,-0.006758179392045356,0.01191724156629123
0,-0.0029684714477044316,0.0033931074145196445,-0.009618961980162934,0.0036820190847540713
1,-0.004084233900595312,0.004830479264542512,-0.013551973259098637,0.005383505457908011
2,-0.01051269524991749,0.006125274955088422,-0.022518234161890797,0.001492843662055817
3,-0.014766396732235242,0.007464251985730336,-0.0293963306242667,-0.00013646284020378367
4,-0.01205844275962889,0.008845556393506695,-0.02939573329090201,0.005278847771644231
