,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-8,0.02013025369899854,0.025324246297944907,-0.029504356980595274,0.06976486437859236,
-7,-0.01517091163960288,0.023982957177837497,-0.06217664395093075,0.03183482067172499,
-6,0.019630219651196386,0.02667930123113211,-0.03266024989451767,0.07192068919691044,
-5,-0.01925750926839754,0.021333900416867287,-0.06107118573522147,0.02255616719842639,
-4,0.000688223467197293,0.013093427864790548,-0.02497442358196536,0.026350870516359946,
-3,-0.0016884834193058532,0.01033978423689783,-0.021954088131540567,0.018577121292928864,
-2,-0.007260187466049888,0.011115028110047945,-0.029045242248894165,0.01452486731679439,
-1,-0.012474884412855386,0.009089512200493447,-0.030290000962859956,0.005340232137149186,
0,0.008831958103465914,0.005997365120473254,-0.002922661534798386,0.020586577741730214,
1,0.00619139065074995,0.007532725757504664,-0.008572480539376388,0.020955261840876288,
2,0.010626003199764231,0.0077153727888595175,-0.0044958495937007775,0.025747855993229242,
3,0.009321466897665758,0.008319253407796967,-0.006983970159878408,0.025626903955209925,
4,0.004093259625374618,0.008381449277802367,-0.012334079097367268,0.020520598348116505,
5,0.0012288974963835016,0.01064852044572549,-0.019641819065876857,0.022099614058643864,
6,-0.0207158068811702,0.011986507254891077,-0.04420892940118478,0.0027773156388443826,
7,-0.02512702404166125,0.014636201667319236,-0.05381345218007204,0.0035594040967495445,
8,-0.020699942244096266,0.015314217473061347,-0.0507152569427105,0.009315372454517967,
